Date,Long,Short,Change long,Change short,Net position
02/08/22,101415,124468,4663,-2182,-23053,
26/07/22,96752,126650,-1213,-2075,-29898,
19/07/22,97965,128725,-6750,772,-30760,
12/07/22,104715,127953,-2426,6394,-23238,
05/07/22,107141,121559,110,548,-14418,
28/06/22,107031,121011,10884,-2006,-13980,
21/06/22,96147,123017,-17946,-17457,-26870,
14/06/22,114093,140474,-5069,54038,-26381,
07/06/22,119162,86436,4682,7405,32726,
31/05/22,114480,79031,31449,25792,35449,
24/05/22,83031,53239,5212,3635,29792,
17/05/22,77819,49604,13898,2408,28215,
10/05/22,63921,47196,61,-2041,16725,
03/05/22,63860,49237,-3529,1974,14623,
26/04/22,67389,47263,-6321,-4783,20126,
19/04/22,73710,52046,-7872,-14576,21664,
12/04/22,81582,66622,2854,-11196,14960,
05/04/22,78728,77818,3647,-5510,910,
29/03/22,75081,83328,16931,7127,-8247,
22/03/22,58150,76201,18986,26461,-18051,
15/03/22,39164,49740,-36856,26737,-10576,
08/03/22,76020,23003,1049,-9590,53017,
01/03/22,74971,32593,2125,-23428,42378,
22/02/22,72846,56021,13361,5510,16825,
15/02/22,59485,50511,14388,6658,8974,
08/02/22,45097,43853,-8670,-9184,1244,
01/02/22,53767,53037,-12682,-14202,730,
25/01/22,66449,67239,-9012,-3302,-790,
18/01/22,75461,70541,22267,12896,4920,
11/01/22,53194,57645,8318,3279,-4451,
04/01/22,44876,54366,11315,11797,-9490,
