Date,Long,Short,Change long,Change short,Net position
05/07/22,39618,95826,4434,7524,-56208,
28/06/22,35184,88302,6714,-3415,-53118,
21/06/22,28470,91717,-873,-3222,-63247,
14/06/22,29343,94939,-5275,-10489,-65596,
07/06/22,34618,105428,3830,535,-70810,
31/05/22,30788,104893,4852,-1415,-74105,
24/05/22,25936,106308,-677,454,-80372,
17/05/22,26613,105854,-2856,-3213,-79241,
10/05/22,29469,109067,-4067,1718,-79598,
03/05/22,33536,107349,-6900,-2708,-73813,
26/04/22,40436,110057,3625,14332,-69621,
19/04/22,36811,95725,1297,7157,-58914,
12/04/22,35514,88568,-359,10937,-53054,
05/04/22,35873,77631,5249,6937,-41758,
29/03/22,30624,70694,-2129,697,-40070,
22/03/22,32753,69997,311,8494,-37244,
15/03/22,32442,61503,-18540,-2005,-29061,
08/03/22,50982,63508,3303,15492,-12526,
01/03/22,47679,48016,5430,-42,-337,
22/02/22,42249,48058,-7902,144,-5809,
15/02/22,50151,47914,5442,-5340,2237,
08/02/22,44709,53254,15112,52,-8545,
01/02/22,29597,53202,-7069,8773,-23605,
25/01/22,36666,44429,-3094,4422,-7763,
18/01/22,39760,40007,9254,-19665,-247,
11/01/22,30506,59672,4526,-5479,-29166,
04/01/22,25980,65151,2887,-8661,-39171,
