Date,Long,Short,Change long,Change short,Net position
21/06/22,54451,36032,-2765,-7179,18419,
14/06/22,57216,43211,2317,5716,14005,
07/06/22,54899,37495,-646,-4053,17404,
31/05/22,55545,41548,-3203,-3097,13997,
24/05/22,58748,44645,-1109,902,14103,
17/05/22,59857,43743,28,2996,16114,
10/05/22,59829,40747,3065,12051,19082,
03/05/22,56764,28696,-18,7320,28068,
26/04/22,56782,21376,-12306,-1283,35406,
19/04/22,69088,22659,2732,2289,46429,
12/04/22,66356,20370,1420,468,45986,
05/04/22,64936,19902,-981,2225,45034,
29/03/22,65917,17677,-3362,-3655,48240,
22/03/22,69279,21332,-4765,-1158,47947,
15/03/22,74044,22490,-2521,-1778,51554,
08/03/22,76565,24268,5330,-2019,52297,
01/03/22,71235,26287,12405,-2241,44948,
22/02/22,58830,28528,1919,-4827,30302,
15/02/22,56911,33355,6,-4251,23556,
08/02/22,56905,37606,-3818,-999,19299,
01/02/22,60723,38605,-3200,6823,22118,
25/01/22,63923,31782,-2062,-4503,32141,
18/01/22,65985,36285,-208,-2360,29700,
11/01/22,66193,38645,1085,4456,27548,
04/01/22,65108,34189,1235,-3226,30919,
