Date,Long,Short,Change long,Change short,Net position
16/08/22,46797,75017,-2680,-2937,-28220,
09/08/22,49477,77954,-840,231,-28477,
02/08/22,50317,77723,-2060,-1216,-27406,
26/07/22,52377,78939,377,3103,-26562,
19/07/22,52000,75836,-623,-3082,-23836,
12/07/22,52623,78918,-1450,-6951,-26295,
05/07/22,54073,85869,6291,7391,-31796,
28/06/22,47782,78478,-2448,7310,-30696,
21/06/22,50230,71168,-847,6294,-20938,
14/06/22,51077,64874,-7155,2928,-13797,
07/06/22,58232,61946,4828,-9483,-3714,
31/05/22,53404,71429,-726,-2334,-18025,
24/05/22,54130,73763,971,-3804,-19633,
17/05/22,53159,77567,-4351,-2569,-24408,
10/05/22,57510,80136,-8080,-1077,-22626,
03/05/22,65590,81213,-5069,6769,-15623,
26/04/22,70659,74444,-12602,10023,-3785,
19/04/22,83261,64421,1321,5831,18840,
12/04/22,81940,58590,-8839,3953,23350,
05/04/22,90779,54637,4226,-1335,36142,
29/03/22,86553,55972,5030,1261,30581,
22/03/22,81523,54711,8185,403,26812,
15/03/22,73338,54308,-14406,-1617,19030,
08/03/22,87744,55925,12218,2492,31819,
01/03/22,75526,53433,-5414,-1932,22093,
22/02/22,80940,55365,-3475,1642,25575,
15/02/22,84415,53723,10113,-1724,30692,
08/02/22,74302,55447,5318,2618,18855,
01/02/22,68984,52829,-9632,694,16155,
25/01/22,78616,52135,943,-3228,26481,
18/01/22,77673,55363,3865,-1739,22310,
11/01/22,73808,57102,-1399,1654,16706,
04/01/22,75207,55448,4227,-1149,19759,
